JAN_CD,SYOHIN_NM,0,1,2,DAIBUNRUI_CD,DAIBUNRUI_NM,CHUBUNRUI_CD,CHUBUNRUI_NM,SHOBUNRUI_CD,SHOBUNRUI_NM,SAIBUNRUI_CD,SAIBUNRUI_NM
0000045166211,ロツテ　ＡＣＵＯ＜グリーンミント＞　１４粒,-13.857656,17.390276,-6.891763,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045166228,ロツテ　ＡＣＵＯ＜クリアブルーミント＞　１４粒,-14.477225,17.67819,-7.0377574,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045173639,明治　アポロ　４６ｇ,-5.299939,12.839959,-1.1278045,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
0000045173646,明治　マーブル　３２ｇ,-5.646809,12.819461,-1.3412392,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
0000045173653,明治　チョコベビー　３２ｇ,-5.2301,12.58984,-0.92732775,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
0000045184703,グリコ　朝食りんごヨーグルト　１４０ｇ,5.429814,-3.3590183,22.155388,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045184710,グリコ　朝食みかんヨーグルト　１４０ｇ,-3.7891655,-1.4757574,1.972212,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045184888,グリコ　Ｂｉｇプッチンプリン　１６５ｇ,-5.453422,-1.4809476,21.17691,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000045185922,アヲハタ　５５　イチゴ　１５０ｇ,-0.19996504,-9.309412,-0.36425123,100000.0,食　品,110000.0,加工食品,110300.0,スプレッド類,110303.0,ジャム・マーマレード
0000045186424,ダイマル　北海道クリーミーソフトバニラ　１７０ｍｌ,-11.896607,6.174112,9.662163,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045189630,ロッテ　クーリッシュ　ベルギーチョコ　１４０ｍｌ,-7.5950236,6.9788175,6.536349,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045189760,ロッテ　クーリッシュ×カルピス　１４０ｍｌ,-7.304066,4.517209,5.8165283,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045190292,ダイマル　セコマ北海道メロンソフト　１４０ｍｌ,-11.114582,4.1693587,7.746714,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045191749,サントリー　オランジーナ　ペット　４２０ｍｌ,-9.197198,-8.524081,4.400697,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140305.0,炭酸フレーバー
0000045191763,サントリー　烏龍茶ＯＴＰＰ　ペット　６００ｍｌ,-25.02623,-7.6710787,-1.5155635,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140315.0,中国茶ドリンク
0000045191848,サントリー　烏龍茶ＯＴＰＰ　ペット　５２５ｍｌ,-25.029253,-7.561161,-1.51933,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140315.0,中国茶ドリンク
0000045191961,ＧＲＥＥＮ　ＤＡ・ＫＡ・ＲＡやさしい麦茶６８０ｍｌ,-24.906746,-8.6443405,-6.5104823,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140313.0,日本茶・麦茶ドリンク
0000045201400,ロッテ　雪見だいふくコクのショコラ　９４ｍｌ,-4.975146,9.446966,11.402361,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045205460,ロッテ　Ｆｉｔ’ｓ爽冷凍みかん味　１２枚,-3.8122098,4.8223114,4.6139965,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000045207075,ダノン　オイコス脂肪０　プレーン加糖　１１０ｇ,-18.763693,4.231128,11.701162,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045207082,ダノン　オイコス脂肪０　ストロベリー　１１０ｇ,-18.65632,4.3595195,11.535633,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045207099,ダノン　オイコス脂肪０　ブルーベリー　１１０ｇ,-18.701817,4.2864356,11.626662,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000045210624,ヤクルト　Ｙ１０００　１１０ｍｌ,-20.542229,-4.079925,7.714555,100000.0,食　品,140000.0,飲料・酒類,140400.0,乳飲料,140407.0,乳酸菌飲料
0000045211935,丸永製菓　白熊　１３５ｍｌ,-5.6435447,0.66197854,6.4032016,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045216435,チロルチョコ　メロンパン　１個,5.64705,13.001088,13.467544,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
0000045216602,キリン　イミューズ朝の免疫ケア　ＰＥＴ　１００ｍｌ,-18.496445,-2.409783,8.97883,100000.0,食　品,140000.0,飲料・酒類,140400.0,乳飲料,140405.0,乳酸飲料
0000045216961,ロッテ　クーリッシュ×三ツ矢サイダー　１４０ｍｌ,-7.144456,5.398716,5.914503,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045216978,ロッテ　クーリッシュ　冷やしパイン　１４０ｍｌ,-9.336741,-3.577649,7.265825,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045217005,ロッテ　クーリッシュ×雪印コーヒー　１３５ｍｌ,-7.101475,5.898582,6.7967887,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045217043,ロッテ　雪見だいふく　塩キャラメル　４７ｍｌ×２,-5.3085012,10.196406,12.161004,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045217050,ロッテ　喜久水庵監修雪見だいふく×喜久福　９４ｍｌ,-11.58752,8.772381,19.19154,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000045623141,チロルチョコ　チロルチョコミルク　１個,-6.769499,15.932612,1.7790815,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130123.0,チョコレート
0000049111224,エバラ　生姜焼のたれ　２３０ｇ,6.3768787,-12.11556,-8.256606,100000.0,食　品,110000.0,加工食品,110100.0,調味料,110133.0,焼き肉のたれ
0000049147650,グリコ　高濃度　ＢｉｆｉＸ１０００　１００ｇ,-5.337155,-1.1734434,21.199795,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049151947,サントリー　黒烏龍茶　ペット　３５０ｍｌ,-25.188251,-7.162107,-1.4423563,100000.0,食　品,140000.0,飲料・酒類,140300.0,清涼飲料,140315.0,中国茶ドリンク
0000049169140,オハヨー　昔なつかしアイスクリン　１５０ｍｌ,-9.033336,5.4564843,6.908549,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049202199,クリーム＆ソーダゼリー　ワイン風味　１３０ｇ,-1.5995265,0.38015464,21.390383,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000049202304,恵ガセリ菌ＳＰ株ＹＧドリンクほんのりレモン１００ｇ,-19.008108,-1.3065686,9.14997,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049202328,ＣＲＥＡＭ　ＳＷＥＥＴＳ　コーヒーゼリー　１１０ｇ,1.1031294,2.088798,22.374302,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000049212877,雪印メグミルク　ナチュレ恵ｍｅｇｕｍｉ　４００ｇ,-20.117119,1.8736678,14.25581,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049265200,トマトジュース食塩無添加,-11.001443,-6.729497,16.873455,100000.0,食　品,140000.0,飲料・酒類,140200.0,果実飲料,140211.0,トマトジュース
0000049368307,ロッテ　グリーンガム　９枚,-13.668684,17.8006,-5.9787397,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000049377736,たまご　Ｌ１０個,5.1889486,9.332841,-22.906929,800000.0,生鮮・惣菜,860000.0,卵,860100.0,鶏卵,860101.0,鶏卵
0000049377736,たまごＬ,5.003034,9.474025,-22.434004,800000.0,生鮮・惣菜,860000.0,卵,860100.0,鶏卵,860101.0,鶏卵
0000049377743,玉子Ｍ　１０個,5.4705706,9.353438,-23.077162,800000.0,生鮮・惣菜,860000.0,卵,860100.0,鶏卵,860101.0,鶏卵
0000049377804,無選別たまご（Ｍサイズ他）１０Ｐ,5.2294784,9.201017,-22.189825,800000.0,生鮮・惣菜,860000.0,卵,860100.0,鶏卵,860101.0,鶏卵
0000049377842,たまご　Ｍサイズ６個入り,5.5603905,8.921815,-22.496689,800000.0,生鮮・惣菜,860000.0,卵,860100.0,鶏卵,860101.0,鶏卵
0000049386288,ロッテ　クーリッシュバニラ　１４０ｍｌ,-7.7807465,5.9558296,5.7631836,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049386776,ロッテ　爽バニラ　１９０ｍｌ,-7.49761,6.172648,5.4919167,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049408188,明治　ブルガリアＹＧ朝のフルーツＭＩＸ　７５ｇ×４,-16.144878,0.7130599,14.864328,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049408485,明治　ブルガリアＹＧしゃきしゃきアロエ　７５ｇ×４,-17.237738,-0.5408066,17.483795,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049410150,森永乳業　森永の焼プリン　１４０ｇ,-5.186497,-1.1003294,21.750034,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000049410402,森永乳業　毎朝爽快　１２５ｍｌ,-20.694227,-2.018751,8.737346,100000.0,食　品,140000.0,飲料・酒類,140400.0,乳飲料,140497.0,その他乳飲料
0000049410471,ビヒダスＹＧ便通改善ドリンクタイプ　１００ｍｌ,-20.820192,-1.9199377,8.904388,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049410686,森永乳業　れん乳氷　１６０ｍｌ,-6.3177834,2.6656647,9.206064,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049410952,森永乳業　とろけるゼリーぶどう＋りんご　７０ｇ×４,-7.9190264,0.10024773,-0.9211822,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000049415780,やおきん　うまい棒コーンポタージュ　１本,6.30431,12.650974,-3.3064764,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049431858,クラシエ　メントスグレープ　３７．５ｇ,-8.085398,10.620032,-2.578598,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000049431902,クラシエチュッパチャプスザベストオブフレーバー１個,-8.67738,10.5954,-2.4617844,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000049453904,雪印メグミルク　ナチュレ恵　脂肪ゼロ　４００ｇ,-20.815153,1.2397196,14.888374,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049459319,丸川製菓　フィリックスガム　１個,-7.118984,11.127274,-2.1854439,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130125.0,チューインガム
0000049480795,やおきん　うまい棒たこ焼味　１本,6.436117,11.834487,-3.1031005,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049480825,やおきん　うまい棒サラミ味　１本,6.5095787,11.898406,-3.244705,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049480832,やおきん　うまい棒チーズ味　１本,6.8878365,12.3506155,-3.2973006,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049480856,やおきん　うまい棒めんたい味　１本,6.5172896,11.868522,-3.3477936,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049480863,やおきん　うまい棒やさいサラダ味　１本,6.5195456,12.107586,-3.2806673,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130131.0,スナック
0000049507973,小岩井乳業　ｉＭＵＳＥヨーグルト　１００ｇ,-19.920492,1.9998477,12.272555,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049536225,ノーベル　ＶＣ－３０００のど飴　１０粒,-14.177231,11.455801,-3.6987984,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000049541434,サクセス　プレシェーブローション　１００ｍｌ,-9.647583,-2.3711572,-13.154401,200000.0,日用品,230000.0,化粧品,232800.0,男性化粧品,232801.0,プレシェーブ・シェービング剤
0000049567779,Ｓ＆Ｂ　七味唐からし　１５ｇ,3.7855654,-13.315219,-8.717342,100000.0,食　品,110000.0,加工食品,110100.0,調味料,110141.0,香辛料（からし・わさび以外）
0000049567953,Ｓ＆Ｂ　ラー油　３１ｇ,4.2074575,-13.73334,-9.269013,100000.0,食　品,110000.0,加工食品,110100.0,調味料,110141.0,香辛料（からし・わさび以外）
0000049567960,Ｓ＆Ｂ　ラー油　唐からし入り　３１ｇ,4.1873627,-13.72487,-9.263909,100000.0,食　品,110000.0,加工食品,110100.0,調味料,110141.0,香辛料（からし・わさび以外）
0000049577570,バニラヨーグルト,-17.86911,3.3282998,14.515526,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049600551,カンロ　はちみつレモンＣのど飴　１１粒,-13.816962,11.521725,-2.9033945,100000.0,食　品,130000.0,菓子類,130100.0,菓子,130121.0,キャンディ・キャラメル
0000049620306,味の素　コンソメ　固形７個入　箱　３７．１ｇ,5.5471606,-14.858609,-5.8457594,100000.0,食　品,110000.0,加工食品,110600.0,スープ,110601.0,調理用スープ
0000049661279,グリコ　牧場しぼり　濃厚バニラ　１２０ｍｌ,-11.756291,7.3723845,10.05732,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049667080,オハヨー乳業　新鮮卵のこんがり焼プリン　１４０ｇ,-5.134427,-0.8780349,21.691942,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130203.0,デザート類
0000049673838,ラムレーズン　カップ,-5.432685,4.433917,3.8000002,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049673876,赤城　キューズメロン　２２０ｍｌ,-10.153085,4.5453315,7.4933767,100000.0,食　品,130000.0,菓子類,130400.0,アイスクリーム類,130497.0,パーソナルアイスその他
0000049685183,ミツカン　味ぽん　３６０ｍｌ,5.7018557,-18.012053,-6.007345,100000.0,食　品,110000.0,加工食品,110100.0,調味料,110113.0,合わせ酢（和風）
0000049698169,日清　カップヌードル　ミニ　３６ｇ,19.965113,-9.201162,-11.274042,100000.0,食　品,110000.0,加工食品,111200.0,麺類,111203.0,カップ麺
0000049698626,日清　カップヌードル　７８ｇ,20.045609,-9.088743,-11.438855,100000.0,食　品,110000.0,加工食品,111200.0,麺類,111203.0,カップ麺
0000049698633,日清　カップヌードル　シーフードヌードル　７５ｇ,20.46176,-8.770489,-12.269423,100000.0,食　品,110000.0,加工食品,111200.0,麺類,111203.0,カップ麺
0000049698640,日清　カップヌードル　カレー　８７ｇ,18.977537,-7.6716604,-11.438257,100000.0,食　品,110000.0,加工食品,111200.0,麺類,111203.0,カップ麺
0000049703153,丸大　チキンハンバーグ　９０ｇ×３,15.754781,4.04913,-9.919423,100000.0,食　品,110000.0,加工食品,111900.0,惣菜類,111909.0,洋惣菜
0000049704907,ヤガイ　ペンシルカルパス　７ｇ,4.0784163,9.369178,-6.578555,100000.0,食　品,130000.0,菓子類,130300.0,珍味,130305.0,畜産珍味
0000049704976,ヤガイ　おやつカルパス　３．４ｇ,4.0642605,9.5849695,-6.3767123,100000.0,食　品,130000.0,菓子類,130300.0,珍味,130305.0,畜産珍味
0000049720136,明治　ブルガリアＹＧ脂肪０ベリーＭＩＸ　８０ｇ×４,-16.798294,0.7089391,14.740127,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049720464,明治　ブルガリアヨーグルト　芳醇苺　７５ｇ×４,-16.278107,1.6792352,14.211262,100000.0,食　品,130000.0,菓子類,130200.0,デザート・ヨーグルト,130205.0,ヨーグルト
0000049720761,明治　チューブでバター１／３　１６０ｇ,-0.6722378,-8.72323,-2.4194777,100000.0,食　品,110000.0,加工食品,110400.0,乳製品,110401.0,バター
0000049721119,明治　おいしい牛乳　２００ｍｌ,-26.060745,6.3654366,4.3554206,100000.0,食　品,140000.0,飲料・酒類,140400.0,乳飲料,140401.0,牛乳
