JAN_CD,SYOHIN_NM,0,1,2,DAIBUNRUI_CD,DAIBUNRUI_NM,CHUBUNRUI_CD,CHUBUNRUI_NM,SHOBUNRUI_CD,SHOBUNRUI_NM,SAIBUNRUI_CD,FREQ
49265200,ダミー４５,5.66679038,7.410344226,8.388478081,c100000,食　品,c140000,飲料・酒類,c140200,果実飲料,c140211,9
49368307,ダミー４６,9.386284787,3.664985592,5.090794799,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,9
49377736,ダミー４７,7.034653446,7.51055611,6.298591457,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,1
49377736,ダミー４８,9.533627642,1.228962991,3.99953401,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,2
49377743,ダミー４９,4.899213354,9.21728086,1.362153783,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,6
49377804,ダミー５０,5.760274306,8.033208037,3.489382578,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,10
49377842,ダミー５１,9.528024443,10.54903025,3.857797154,c800000,生鮮・惣菜,c860000,卵,c860100,鶏卵,c860101,1
49386288,ダミー５２,3.668945295,9.16539915,7.052712981,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,7
49386776,ダミー５３,9.667168548,5.565887603,3.327634288,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,2
49408188,ダミー５４,5.321825034,10.24936162,2.232036202,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,7
49408485,ダミー５５,1.313219346,2.954496988,4.667285064,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,1
49410150,ダミー５６,2.002958764,1.925681402,3.34554092,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,10
49410402,ダミー５７,8.816079625,8.336768346,2.239754475,c100000,食　品,c140000,飲料・酒類,c140400,乳飲料,c140497,6
49410471,ダミー５８,10.83019445,1.470283421,8.956560924,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,4
49410686,ダミー５９,10.64208778,5.454087884,9.0047948,c100000,食　品,c130000,菓子類,c130400,アイスクリーム類,c130497,9
49410952,ダミー６０,10.42630575,4.778572975,9.998531889,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130203,2
49415780,ダミー６１,3.986539886,5.990383976,7.19313977,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,5
49431858,ダミー６２,3.022608983,8.477054164,9.074835949,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,3
49431902,ダミー６３,7.737540071,1.393176796,8.837172571,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,9
49453904,ダミー６４,4.190737618,6.092356475,1.222235982,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,10
49459319,ダミー６５,4.276688145,2.075951069,6.556684626,c100000,食　品,c130000,菓子類,c130100,菓子,c130125,5
49480795,ダミー６６,2.509662845,5.567423314,9.73224345,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480825,ダミー６７,5.427102141,8.513968145,5.254498179,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480832,ダミー６８,2.619108843,2.096091205,1.101383966,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,1
49480856,ダミー６９,8.8671706,7.526063475,4.208389097,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,2
49480863,ダミー７０,8.114643792,2.339711111,6.407033492,c100000,食　品,c130000,菓子類,c130100,菓子,c130131,2
49507973,ダミー７１,1.059269777,7.992127419,3.664524315,c100000,食　品,c130000,菓子類,c130200,デザート・ヨーグルト,c130205,3
49536225,ダミー７２,1.754170527,8.597570685,4.486153122,c100000,食　品,c130000,菓子類,c130100,菓子,c130121,6
49541434,ダミー７３,3.187893795,8.919529928,6.217989747,c200000,日用品,c230000,化粧品,c232800,男性化粧品,c232801,4
